Moeda,Preço,Volume em 24 h,Capitalização de mercado,FDV
Kelp DAO Restaked ETH  RSETH,"US$ 1.891,60",US$ 581.341,US$ 1.048.889.052,US$ 1.048.889.052
Kelp Gain  AGETH,"US$ 1.871,29","US$ 38.303,26",US$ 48.734.520,US$ 48.734.520
Kendu Inu  KENDU,"US$ 0,00001213",US$ 145.606,US$ 12.043.060,US$ 12.087.995
KernelDAO  KERNEL,"US$ 0,1795",US$ 34.647.783,US$ 29.168.252,US$ 179.626.826
Ket  KET,"US$ 0,248",US$ 7.334.547,US$ 247.668.711,US$ 247.668.711
Keyboard Cat (Base)  KEYCAT,"US$ 0,003247",US$ 4.097.811,US$ 32.520.043,US$ 32.520.043
KiloEx  KILO,"US$ 0,04064",US$ 16.956.884,US$ 8.600.529,US$ 40.626.024
KILT Protocol  KILT,"US$ 0,04314","US$ 21.296,19",US$ 6.370.211,US$ 7.119.334
Kin  KIN,"US$ 0,052694",US$ 256.783,US$ 7.131.151,US$ 7.131.151
Kinesis Gold  KAU,"US$ 107,41",US$ 365.930,US$ 154.132.450,US$ 154.132.450
Kinesis Silver  KAG,"US$ 32,87",US$ 120.517,US$ 125.559.840,US$ 125.559.840
King Protocol  KING,"US$ 596,89","US$ 40.903,82",US$ 6.613.903,US$ 6.608.506
Kishu Inu  KISHU,"US$ 0,0109161",US$ 972.120,US$ 8.850.013,US$ 8.850.013
Kleros  PNK,"US$ 0,01147","US$ 56.151,00",US$ 8.290.485,US$ 9.218.972
Klever  KLV,"US$ 0,002104",US$ 373.853,US$ 18.967.731,US$ 18.967.731
KOGE  KOGE,"US$ 47,11",US$ 346.714,US$ 159.608.640,US$ 159.608.640
Koma Inu  KOMA,"US$ 0,02445",US$ 8.395.342,US$ 14.806.299,US$ 14.806.299
Komodo  KMD,"US$ 0,1624",US$ 2.554.726,US$ 22.891.080,US$ 22.891.080
KONDUX  KNDX,"US$ 0,01914","US$ 28.230,37",US$ 10.489.675,US$ 18.061.010
KONET  KONET,"US$ 0,03794",US$ 306.900,US$ 7.636.839,US$ 37.943.386
KRYLL  KRL,"US$ 0,3248","US$ 99.793,71",US$ 12.872.788,US$ 16.048.972
KUB Coin  KUB,"US$ 1,45",US$ 115.013,US$ 128.782.664,US$ 159.438.300
KuCoin  KCS,"US$ 10,56","US$ 31.336,47",US$ 1.319.895.894,US$ 1.504.616.419
Kujira  KUJI,"US$ 0,2701",US$ 160.372,US$ 33.039.563,US$ 33.047.855
Kula  KULA,"US$ 0,2392",US$ 1.200.406,US$ 158.301.250,US$ 2.391.234.918
Kusama  KSM,"US$ 16,40",US$ 11.716.239,US$ 269.202.920,US$ 269.204.957
Kyber Network Crystal  KNC,"US$ 0,385",US$ 12.718.354,US$ 65.487.744,US$ 92.364.030
Kyros Restaked SOL  KYSOL,"US$ 177,57",US$ 191.252,US$ 36.445.102,US$ 36.447.932
KYVE Network  KYVE,"US$ 0,009696","US$ 60.021,37",US$ 8.661.031,US$ 11.592.988
L2 Standard Bridged frxUSD  FRXUSD,"US$ 0,9999",US$ 1.096.829,US$ 94.743.098,US$ 94.743.098
L2 Standard Bridged WETH (Base)  WETH,"US$ 1.818,75",US$ 369.819.193,US$ 404.861.769,US$ 403.208.018
L2 Standard Bridged WETH (Blast)  WETH,"US$ 1.818,93",US$ 935.084,US$ 68.429.362,US$ 68.429.362
L2 Standard Bridged WETH (Optimism)  WETH,"US$ 1.818,21",US$ 26.723.980,US$ 62.549.637,US$ 62.555.430
Laine Staked SOL  LAINESOL,"US$ 183,05","US$ 481,82",US$ 23.861.247,US$ 23.861.247
LandWolf  WOLF,"US$ 0,00005165",US$ 2.409.261,US$ 46.611.633,US$ 46.611.633
Laqira Protocol  LQR,"US$ 0,08102",US$ 269.920,US$ 7.052.949,US$ 202.382.601
Last USD  USDXL,"US$ 0,9948",US$ 1.113.066,US$ 6.397.077,US$ 6.397.077
Lava Network  LAVA,"US$ 0,05459",US$ 2.013.379,US$ 15.635.324,US$ 53.487.381
Law Blocks  LBT,"US$ 0,129",US$ 251.556,US$ 27.715.434,US$ 128.910.201
Layer3  L3,"US$ 0,06651",US$ 4.595.445,US$ 39.810.123,US$ 221.647.064
LayerZero  ZRO,"US$ 2,98",US$ 85.569.627,US$ 331.632.303,US$ 2.983.569.836
LayerZero Bridged USDC (Aptos)  ZUSDC,"US$ 0,9995",US$ 1.842.581,US$ 26.208.431,US$ 26.208.431
LayerZero Bridged USDT (Aptos)  ZUSDT,"US$ 1,00",US$ 758.440,US$ 8.343.250,US$ 8.343.250
Layerzero Bridged weETH (Swellchain)  WEETH,"US$ 1.944,19","US$ 54.516,69",US$ 45.344.764,US$ 45.344.764
Lazio Fan Token  LAZIO,"US$ 0,994",US$ 2.270.041,US$ 11.837.661,US$ 39.767.335
LCX  LCX,"US$ 0,1612",US$ 2.321.483,US$ 151.708.632,US$ 153.161.323
League of Kingdoms  LOKA,"US$ 0,08971",US$ 4.444.710,US$ 33.559.946,US$ 44.823.010
LeisureMeta  LM,"US$ 0,002832",US$ 856.814,US$ 8.418.739,US$ 13.240.672
Lemonschain  LCT,"US$ 0,05016","US$ 50.663,60",US$ 6.370.210,US$ 6.370.210
LEO Token  LEO,"US$ 9,05",US$ 4.776.807,US$ 8.361.802.072,US$ 8.919.836.202
Let's BONK  LETSBONK,"US$ 0,1994",US$ 78.697.651,US$ 13.761.585,US$ 13.761.585
Level USD  LVLUSD,"US$ 1,00",US$ 2.382.269,US$ 165.866.877,US$ 165.867.398
LeverFi  LEVER,"US$ 0,0008086",US$ 78.365.458,US$ 28.314.903,US$ 28.315.512
Libra  LIBRA,"US$ 0,02894",US$ 9.712.577,US$ 7.423.134,US$ 28.948.224
Lido DAO  LDO,"US$ 0,8657",US$ 69.221.176,US$ 777.444.386,US$ 865.819.185
Lido Staked Ether  STETH,"US$ 1.817,10",US$ 19.613.337,US$ 16.792.679.816,US$ 16.792.700.831
Lido Staked SOL  STSOL,"US$ 180,46","US$ 60.264,55",US$ 19.163.788,US$ 19.163.788
LIF3 (OLD)  LIF3,"US$ 0,002643","US$ 454,30",US$ 6.914.409,US$ 23.495.624
Lifeform  LFT,"US$ 0,01487","US$ 27.247,99",US$ 9.138.561,US$ 14.869.709
Lift Dollar  USDL,"US$ 1,00",US$ 402.125,US$ 90.359.296,US$ 90.359.296
LIKE  LIKE,"US$ 0,01793",US$ 371.481,US$ 7.071.261,US$ 8.948.638
LimeWire  LMWR,"US$ 0,1045",US$ 3.059.261,US$ 34.255.021,US$ 66.164.554
LIMITUS  LMT,"US$ 0,01121",US$ 304.449,US$ 9.348.616,US$ 9.348.616
Lingo  LINGO,"US$ 0,0552",US$ 617.283,US$ 7.996.997,US$ 7.997.027
LinqAI  LNQ,"US$ 0,04089",US$ 312.554,US$ 9.345.960,US$ 36.755.975
Lion Cat  LCAT,"US$ 0,05191",US$ 311.742,US$ 19.617.950,US$ 31.139.603
Liquid BGT  LBGT,"US$ 5,02",US$ 411.646,US$ 7.764.368,US$ 7.770.828
Liquid Staked ETH  LSETH,"US$ 1.959,14",US$ 1.450.818,US$ 223.181.633,US$ 223.181.633
Liquity  LQTY,"US$ 0,7595",US$ 13.446.786,US$ 73.965.933,US$ 75.943.275
Liquity BOLD  BOLD,"US$ 0,9985","US$ 27.974,11",US$ 28.920.752,US$ 28.920.752
Liquity USD  LUSD,"US$ 1,00",US$ 112.554,US$ 43.565.641,US$ 43.565.641
Lisk  LSK,"US$ 0,5454",US$ 17.458.196,US$ 97.928.676,US$ 217.920.236
Lista DAO  LISTA,"US$ 0,1929",US$ 12.788.610,US$ 33.312.612,US$ 192.866.260
Lista USD  LISUSD,"US$ 0,9986",US$ 609.378,US$ 37.540.405,US$ 38.564.337
Litecoin  LTC,"US$ 87,05",US$ 254.171.432,US$ 6.595.178.748,US$ 6.595.546.426
Litentry  LIT,"US$ 0,4919","US$ 43.140,63",US$ 22.217.163,US$ 49.189.436
Livepeer  LPT,"US$ 5,41",US$ 31.270.517,US$ 216.669.459,US$ 216.669.459
lmeow  LMEOW,"US$ 0,007424","US$ 9.384,57",US$ 7.424.005,US$ 7.424.005
LOCK IN  LOCKIN,"US$ 0,009735",US$ 345.253,US$ 9.679.888,US$ 9.679.888
LOFI  LOFI,"US$ 0,03998",US$ 4.772.266,US$ 40.201.493,US$ 40.201.493
Lombard Staked BTC  LBTC,"US$ 94.649,77",US$ 7.552.490,US$ 1.930.846.820,US$ 1.930.846.820
LooksRare  LOOKS,"US$ 0,01243",US$ 3.096.687,US$ 12.348.132,US$ 12.348.132
Loom Network (NEW)  LOOM,"US$ 0,02378",US$ 1.049.089,US$ 29.540.915,US$ 30.897.533
Loom Network (OLD)  LOOMOLD,"US$ 0,02367",US$ 511.884,US$ 19.739.957,US$ 23.671.438
Looped Hype  LHYPE,"US$ 18,07",US$ 3.250.792,US$ 19.794.814,US$ 19.794.814
LooPIN Network  LOOPIN,"US$ 0,435","US$ 1.031,89",US$ 12.976.341,US$ 15.641.336
Loopring  LRC,"US$ 0,1073",US$ 11.834.227,US$ 133.626.197,US$ 147.340.878
Lorenzo Protocol  BANK,"US$ 0,0346",US$ 14.211.280,US$ 14.723.453,US$ 14.723.453
Lorenzo stBTC  STBTC,"US$ 93.856,08","US$ 36.454,81",US$ 97.914.977,US$ 97.914.977
LTO Network  LTO,"US$ 0,04761",US$ 12.868.926,US$ 20.794.453,US$ 20.795.282
Luce  LUCE,"US$ 0,01185",US$ 10.644.714,US$ 11.878.312,US$ 11.878.312
LUKSO  LYX,"US$ 0,9496",US$ 269.472,US$ 28.997.653,US$ 39.993.620
LUKSO [OLD]  LYXE,"US$ 0,964","US$ 1.130,69",US$ 15.015.306,US$ 96.400.788
Lumia  LUMIA,"US$ 0,3798",US$ 8.761.455,US$ 28.537.459,US$ 90.526.746
LumiWave  LWA,"US$ 0,01282",US$ 637.693,US$ 9.800.644,US$ 9.800.644
Lumoz  MOZ,"US$ 0,009118",US$ 4.217.227,US$ 10.867.548,US$ 91.123.842
Luna by Virtuals  LUNA,"US$ 0,0176",US$ 1.262.912,US$ 17.661.175,US$ 17.661.175
MAG7.ssi  MAG7.SSI,"US$ 0,711",US$ 417.834,US$ 138.598.430,US$ 138.598.430
MAGA  TRUMP,"US$ 0,2183",US$ 300.818,US$ 9.808.466,US$ 9.808.466
Magic Eden  ME,"US$ 0,9267",US$ 23.090.324,US$ 135.903.245,US$ 925.985.285
Magic Internet Money (Ethereum)  MIM,"US$ 0,9998","US$ 18.386,53",US$ 55.417.808,US$ 182.104.409
MAGIC•INTERNET•MONEY (Bitcoin)  MIM,"US$ 0,002838","US$ 36.828,66",US$ 59.596.484,US$ 59.596.484
Magpie  MGP,"US$ 0,03161","US$ 59.045,65",US$ 14.429.724,US$ 31.613.647
MAI  MIMATIC,"US$ 0,995","US$ 18.444,69",US$ 27.425.694,US$ 300.863.908
Mainframe  MFT,"US$ 0,002353","US$ 43,67",US$ 22.084.985,US$ 23.528.324
Maker  MKR,"US$ 1.524,67",US$ 44.332.990,US$ 1.279.006.312,US$ 1.317.063.191
MakerDAO Arbitrum Bridged DAI (Arbitrum One)  DAI,"US$ 0,9997",US$ 992.040,US$ 21.317.960,US$ 21.317.960
MakerDAO Optimism Bridged DAI (Optimism)  DAI,"US$ 1,00",US$ 642.657,US$ 17.662.841,US$ 17.662.841
Manchester City Fan Token  CITY,"US$ 1,06",US$ 2.582.092,US$ 9.057.381,US$ 20.977.602
MANEKI  MANEKI,"US$ 0,002358",US$ 6.514.516,US$ 20.863.965,US$ 20.935.022
Mango  MNGO,"US$ 0,01817","US$ 5.105,18",US$ 20.307.232,US$ 90.862.742
Mansory Token  MNSRY,"US$ 0,02876",US$ 172.226,US$ 25.884.078,US$ 25.884.078
Manta mETH  METH,"US$ 1.819,17","US$ 365,79",US$ 7.552.051,US$ 7.552.051
Manta Network  MANTA,"US$ 0,251",US$ 17.499.594,US$ 102.904.333,US$ 250.539.965
Mantle  MNT,"US$ 0,7421",US$ 206.870.285,US$ 2.496.410.319,US$ 4.614.376.480
Mantle Bridged USDC (Mantle)  USDC,"US$ 1,00",US$ 354.188,US$ 31.022.519,US$ 31.022.519
Mantle Bridged USDT (Mantle)  USDT,"US$ 1,00",US$ 609.180,US$ 350.601.810,US$ 350.601.810
Mantle Restaked ETH  CMETH,"US$ 1.934,78",US$ 6.039.736,US$ 393.423.752,US$ 393.423.752
Mantle Staked Ether  METH,"US$ 1.935,51",US$ 2.632.395,US$ 710.783.349,US$ 710.783.349
MANTRA  OM,"US$ 0,5197",US$ 114.707.282,US$ 497.913.631,US$ 944.921.899
MAP Protocol  MAPO,"US$ 0,004777",US$ 1.125.062,US$ 27.637.858,US$ 46.283.090
Maple  MPL,"US$ 15,81",US$ 641.381,US$ 27.634.547,US$ 158.084.296
Maple Finance  SYRUP,"US$ 0,1596",US$ 8.388.105,US$ 149.507.231,US$ 188.905.716
MARBLEX  MBX,"US$ 0,1832",US$ 1.161.748,US$ 38.029.976,US$ 58.896.776
Marinade  MNDE,"US$ 0,0952",US$ 783.478,US$ 39.114.429,US$ 95.150.862
Marinade Staked SOL  MSOL,"US$ 191,66",US$ 10.306.923,US$ 756.168.638,US$ 756.169.213
Marlin  POND,"US$ 0,01011",US$ 4.740.373,US$ 82.795.499,US$ 101.137.346
Mars Protocol  MARS,"US$ 0,01354","US$ 16.600,53",US$ 7.864.092,US$ 7.868.753
Masa  MASA,"US$ 0,03366",US$ 7.450.378,US$ 18.733.458,US$ 52.642.306
Mask Network  MASK,"US$ 1,25",US$ 43.099.857,US$ 124.794.595,US$ 124.794.595
Massa  MAS,"US$ 0,02334",US$ 104.235,US$ 6.221.336,US$ 25.257.287
MATH  MATH,"US$ 0,1512",US$ 2.493.422,US$ 27.685.637,US$ 30.236.026
Matr1x  MAX,"US$ 0,05305",US$ 11.426.975,US$ 6.911.912,US$ 42.365.379
Maverick Protocol  MAV,"US$ 0,0643",US$ 8.087.374,US$ 38.330.911,US$ 128.534.058
Maxi PayFi Strategy Token  MPST,"US$ 1,00","US$ 36.349,48",US$ 17.574.794,US$ 17.574.794
Maya Protocol  CACAO,"US$ 0,1869",US$ 592.429,US$ 18.689.258,US$ 18.689.258
McDull (Meme)  MCDULL,"US$ 0,05473","US$ 58.798,92",US$ 42.048.448,US$ 42.048.448
MCOIN  MCOIN,"US$ 0,07903",US$ 162.000,US$ 13.973.816,US$ 39.474.057
Measurable Data  MDT,"US$ 0,03015",US$ 5.423.230,US$ 18.281.186,US$ 30.151.066
Medibloc  MED,"US$ 0,007393",US$ 404.513,US$ 74.516.508,US$ 80.359.813
Meeds DAO  MEED,"US$ 0,3656","US$ 4.423,99",US$ 7.478.962,US$ 7.829.969
Melania Meme  MELANIA,"US$ 0,5384",US$ 45.516.321,US$ 213.275.213,US$ 538.875.145
Memecoin  MEME,"US$ 0,00227",US$ 41.184.635,US$ 98.965.880,US$ 156.459.327
MemeFi  MEMEFI,"US$ 0,002944",US$ 112.648.752,US$ 29.506.554,US$ 29.506.554
Memento  DEXTF,"US$ 0,1264",US$ 106.908,US$ 8.319.269,US$ 12.641.877
MEOW  MEOW,"US$ 0,001536",US$ 119.238,US$ 138.228.582,US$ 138.228.582
MEOW  MEOW,"US$ 0,005571","US$ 710,03",US$ 8.377.061,US$ 56.269.557
MEOW  MEOW,"US$ 0,001536",US$ 119.238,US$ 138.228.582,US$ 138.228.582
MEOW  MEOW,"US$ 0,005571","US$ 710,03",US$ 8.377.061,US$ 56.269.557
Merlin Chain  MERL,"US$ 0,1148",US$ 11.131.753,US$ 60.313.267,US$ 241.253.068
MESSIER  M87,"US$ 0,00005752",US$ 1.576.720,US$ 50.901.973,US$ 50.901.973
META  META,"US$ 1.174,76","US$ 14.846,80",US$ 24.522.580,US$ 24.522.580
Metacade  MCADE,"US$ 0,01158",US$ 4.958.933,US$ 19.362.049,US$ 23.163.780
Metadium  META,"US$ 0,02432",US$ 486.629,US$ 41.573.166,US$ 48.643.250
Metahero  HERO,"US$ 0,001062","US$ 69.951,39",US$ 9.949.576,US$ 10.374.490
Metal Blockchain  METAL,"US$ 0,08729",US$ 442.707,US$ 44.310.869,US$ 58.192.004
Metal DAO  MTL,"US$ 0,8896",US$ 2.153.028,US$ 75.193.717,US$ 75.193.717
MetaMUI  MMUI,"US$ 0,04522",US$ 282.807,US$ 21.534.660,US$ 36.173.203
Metaplex  MPLX,"US$ 0,2133",US$ 2.188.205,US$ 168.205.734,US$ 213.204.774
MetFi  METFI,"US$ 0,2449",US$ 278.335,US$ 59.371.990,US$ 117.865.048
mETH Protocol  COOK,"US$ 0,007973",US$ 708.644,US$ 7.654.381,US$ 39.866.568
Metis  METIS,"US$ 16,89",US$ 8.449.316,US$ 107.409.172,US$ 168.722.262
Metis Bridged WETH (Metis Andromeda)  WETH,"US$ 1.816,78","US$ 96.016,05",US$ 8.992.456,US$ 8.992.456
Mettalex  MTLX,"US$ 2,34","US$ 16.327,94",US$ 9.486.576,US$ 93.402.030
mfercoin  MFER,"US$ 0,008607",US$ 1.096.630,US$ 8.618.905,US$ 8.618.905
michi  $MICHI,"US$ 0,03853",US$ 4.717.245,US$ 21.427.149,US$ 21.427.149
MiL.k  MLK,"US$ 0,1762",US$ 3.496.131,US$ 80.010.818,US$ 173.874.372
Milady Cult Coin  CULT,"US$ 0,0007785",US$ 962.023,US$ 33.668.331,US$ 77.868.721
Milady Meme Coin  LADYS,"US$ 0,074617",US$ 7.493.545,US$ 40.996.152,US$ 40.996.152
MileVerse  MVC,"US$ 0,003805",US$ 231.777,US$ 10.275.144,US$ 10.996.213
MimbleWimbleCoin  MWC,"US$ 28,46",US$ 206.661,US$ 312.283.063,US$ 312.285.351
Mina Protocol  MINA,"US$ 0,253",US$ 15.282.022,US$ 310.651.990,US$ 310.652.354
MINATIVERSE  MNTC,"US$ 1,25",US$ 261.969,US$ 6.866.441,US$ 12.980.395
Mind Network  FHE,"US$ 0,0936",US$ 30.616.195,US$ 23.328.430,US$ 93.688.476
Minima  MINIMA,"US$ 0,02567",US$ 104.703,US$ 11.542.023,US$ 25.672.491
Minswap  MIN,"US$ 0,02443",US$ 230.310,US$ 34.715.981,US$ 73.299.690
Mintlayer  ML,"US$ 0,03783",US$ 259.392,US$ 7.274.184,US$ 15.141.154
Miracle Play  MPT,"US$ 0,02334",US$ 596.291,US$ 19.928.524,US$ 24.401.464
MIU  MIU,"US$ 0,077843",US$ 226.931,US$ 70.588.753,US$ 70.588.753
MixMarvel  MIX,"US$ 0,001134",US$ 263.964,US$ 10.429.702,US$ 11.336.633
MMX  MMX,"US$ 0,08511","US$ 40.538,04",US$ 13.528.190,US$ 42.545.511
MNEE USD Stablecoin  MNEE,"US$ 0,997","US$ 68.964,28",US$ 24.064.620,US$ 24.064.620
Mobox  MBOX,"US$ 0,06173",US$ 11.676.430,US$ 30.886.100,US$ 33.972.719
Moby AI  MOBY,"US$ 0,01154",US$ 1.216.425,US$ 11.497.951,US$ 11.497.951
Moca Network  MOCA,"US$ 0,08661",US$ 17.523.628,US$ 231.484.952,US$ 769.804.500
Mochi  MOCHI,"US$ 0,00001303","US$ 96.777,14",US$ 13.029.445,US$ 13.029.445
Mode  MODE,"US$ 0,003392",US$ 1.073.748,US$ 8.484.569,US$ 33.938.275
Mog Coin  MOG,"US$ 0,066788",US$ 24.175.963,US$ 265.574.389,US$ 265.574.389
MON  MON,"US$ 0,02793",US$ 1.501.341,US$ 11.514.153,US$ 27.880.019
Monerium EUR emoney  EURE,"US$ 1,14","US$ 5.612,78",US$ 26.378.674,US$ 26.379.302
Monero  XMR,"US$ 230,45",US$ 50.285.002,US$ 4.248.054.725,US$ 4.248.054.725
Moo Deng  MOODENG,"US$ 0,04849",US$ 57.038.908,US$ 47.670.415,US$ 47.670.415
MOO DENG  MOODENG,"US$ 0,00003214",US$ 4.521.548,US$ 13.542.854,US$ 13.542.854
Moon Tropica  CAH,"US$ 2,22","US$ 8.000,73",US$ 6.238.552,US$ 7.783.233
Moonbeam  GLMR,"US$ 0,08329",US$ 5.014.418,US$ 81.113.036,US$ 97.481.534
MoonRabbits  MRB,"US$ 0,00004678","US$ 54.169,09",US$ 29.692.907,US$ 32.274.899
Moonriver  MOVR,"US$ 6,52",US$ 3.816.866,US$ 62.235.194,US$ 77.343.634
Moonwell  WELL,"US$ 0,03222",US$ 4.966.723,US$ 107.344.256,US$ 160.999.624
Moonwell Flagship ETH (Morpho Vault)  MWETH,"US$ 1.800,61","US$ 802,70",US$ 54.082.840,US$ 54.082.840
MOOxMOO  MOOX,"US$ 0,1534","US$ 68.713,54",US$ 20.227.281,US$ 153.236.979
MorpheusAI  MOR,"US$ 6,98","US$ 46.034,77",US$ 24.648.694,US$ 41.776.452
Morpho  MORPHO,"US$ 1,28",US$ 20.520.297,US$ 306.037.898,US$ 1.283.125.800
Morphware  XMW,"US$ 0,08709",US$ 505.298,US$ 68.386.736,US$ 108.016.195
Mossland  MOC,"US$ 0,07312",US$ 1.451.441,US$ 31.386.502,US$ 36.539.296
Mother Iggy  MOTHER,"US$ 0,01714",US$ 2.711.902,US$ 16.884.561,US$ 16.884.561
Mountain Protocol USD  USDM,"US$ 1,00",US$ 1.087.551,US$ 48.051.164,US$ 48.051.164
Movement  MOVE,"US$ 0,2484",US$ 142.530.130,US$ 609.028.258,US$ 2.485.829.626
MovieBloc  MBL,"US$ 0,00254",US$ 5.734.219,US$ 46.804.972,US$ 76.238.341
Mr. Miggles  MIGGLES,"US$ 0,03391",US$ 3.270.105,US$ 32.515.067,US$ 32.515.067
Mubarak  MUBARAK,"US$ 0,03616",US$ 45.700.046,US$ 36.174.335,US$ 36.174.335
Multichain Bridged USDC (Fantom)  USDC,"US$ 0,0594","US$ 17.284,55",US$ 10.754.980,US$ 10.754.980
MultiversX  EGLD,"US$ 17,59",US$ 34.816.421,US$ 495.579.090,US$ 495.579.090
MUMU THE BULL  MUMU,"US$ 0,053843",US$ 889.534,US$ 8.980.058,US$ 8.980.058
Muse DAO  MUSE,"US$ 9,45",US$ 653.371,US$ 7.831.333,US$ 7.831.965
MUX Protocol  MCB,"US$ 1,92","US$ 58.094,73",US$ 7.258.644,US$ 9.167.236
MVL  MVL,"US$ 0,003548",US$ 1.326.514,US$ 93.879.054,US$ 98.670.076
MX  MX,"US$ 2,91",US$ 5.153.174,US$ 274.192.120,US$ 1.209.986.925
My Lovely Coin  MLC,"US$ 0,3173",US$ 289.120,US$ 16.254.149,US$ 72.972.566
My Neighbor Alice  ALICE,"US$ 0,4802",US$ 10.346.260,US$ 44.214.942,US$ 48.016.227
Myria  MYRIA,"US$ 0,0009719",US$ 2.055.515,US$ 27.458.543,US$ 48.525.309
Myro  $MYRO,"US$ 0,03078",US$ 32.317.496,US$ 30.691.131,US$ 30.691.131
MyShell  SHELL,"US$ 0,1815",US$ 37.863.648,US$ 48.938.842,US$ 181.254.971
Mysterium  MYST,"US$ 0,1977","US$ 58.276,31",US$ 6.411.931,US$ 6.411.931
Mythos  MYTH,"US$ 0,1429",US$ 1.052.403,US$ 113.770.262,US$ 142.852.714
Nacho the Kat  NACHO,"US$ 0,00004382",US$ 234.300,US$ 12.605.615,US$ 12.605.615
Nakamoto Games  NAKA,"US$ 0,3971",US$ 7.782.604,US$ 25.810.760,US$ 71.493.243
Nano  XNO,"US$ 0,9835",US$ 2.608.485,US$ 131.056.158,US$ 131.056.158
NATIX Network  NATIX,"US$ 0,0005833",US$ 259.876,US$ 10.202.643,US$ 58.201.717
NAVI Protocol  NAVX,"US$ 0,06232",US$ 3.028.916,US$ 30.496.595,US$ 62.324.844
NEAR Protocol  NEAR,"US$ 2,62",US$ 172.403.827,US$ 3.171.665.268,US$ 3.273.637.202
Neiro  NEIRO,"US$ 0,0002641",US$ 112.941.600,US$ 111.106.686,US$ 111.106.686
Neiro on ETH  NEIRO,"US$ 0,07918",US$ 18.319.851,US$ 79.175.615,US$ 79.175.615
NEM  XEM,"US$ 0,02403",US$ 231.357.094,US$ 217.588.932,US$ 217.588.932
NEO  NEO,"US$ 6,45",US$ 31.633.328,US$ 454.555.365,US$ 644.485.134
Neon  NEON,"US$ 0,1216",US$ 1.173.273,US$ 29.117.489,US$ 121.593.689
Nervos Network  CKB,"US$ 0,005233",US$ 13.647.805,US$ 242.680.126,US$ 246.575.549
NetMind Token  NMT,"US$ 1,14",US$ 3.599.092,US$ 53.581.621,US$ 163.887.336
NEURALAI  NEURAL,"US$ 3,35",US$ 104.206,US$ 33.314.472,US$ 33.314.472
Neuron  NRN,"US$ 0,03586",US$ 597.403,US$ 15.499.184,US$ 35.858.165
Neutron  NTRN,"US$ 0,1453",US$ 3.755.199,US$ 41.343.888,US$ 145.120.245
Nexa  NEXA,"US$ 0,051495",US$ 142.635,US$ 11.736.044,US$ 11.736.432
Nexera  NXRA,"US$ 0,0123","US$ 43.151,85",US$ 11.538.212,US$ 24.592.936
NEXO  NEXO,"US$ 1,13",US$ 13.312.931,US$ 1.127.507.139,US$ 1.127.507.139
Nexus Mutual  NXM,"US$ 41,11","US$ 0,00",US$ 112.881.647,US$ 112.874.374
NexusMind  NMD,"US$ 7,57","US$ 39.367,08",US$ 77.597.553,US$ 757.233.993
NFPrompt  NFP,"US$ 0,08814",US$ 10.727.724,US$ 37.585.007,US$ 88.153.085
NFTX  NFTX,"US$ 16,41","US$ 16,49",US$ 6.892.323,US$ 10.666.691
Nibiru  NIBI,"US$ 0,01738",US$ 714.904,US$ 11.201.180,US$ 15.870.973
Nillion  NIL,"US$ 0,4249",US$ 28.457.555,US$ 82.924.151,US$ 424.925.189
Nimiq  NIM,"US$ 0,0008446","US$ 60.261,30",US$ 11.011.877,US$ 11.254.579
Ninja Squad Token  NST,"US$ 2,55",US$ 178.152,US$ 20.782.859,US$ 20.782.859
NKN  NKN,"US$ 0,04013",US$ 22.708.045,US$ 31.568.040,US$ 31.580.821
NKYC Token  NKYC,"US$ 28,79",US$ 233.889,US$ 114.757.206,US$ 114.757.206
node.sys  NYS,"US$ 0,02475","US$ 38.526,17",US$ 13.611.968,US$ 13.611.968
NodeAI  GPU,"US$ 0,3994",US$ 638.444,US$ 38.775.742,US$ 39.741.675
Nodecoin  NC,"US$ 0,0465",US$ 5.460.533,US$ 8.080.295,US$ 46.627.814
Non-Playable Coin  NPC,"US$ 0,01685",US$ 4.444.157,US$ 135.691.501,US$ 135.691.501
Noon USN  USN,"US$ 1,00","US$ 83.844,63",US$ 22.826.074,US$ 22.826.060
Noot Noot  NOOT,"US$ 0,01309","US$ 85.005,53",US$ 13.087.927,US$ 13.087.927
Nosana  NOS,"US$ 0,8935",US$ 581.160,US$ 74.518.652,US$ 89.350.902
Notcoin  NOT,"US$ 0,002627",US$ 50.949.505,US$ 269.185.616,US$ 269.185.616
Novem Gold Token  NNN,"US$ 123,98",US$ 123.856,US$ 25.451.673,US$ 25.451.673
Now Coin  NOW,"US$ 0,01692",US$ 251.496,US$ 7.375.819,US$ 169.559.055
NPC On Solana  NPCS,"US$ 0,007567",US$ 359.852,US$ 7.551.327,US$ 7.551.327
Nuklai  NAI,"US$ 0,002314","US$ 58.514,23",US$ 8.321.751,US$ 23.144.535
NULS  NULS,"US$ 0,06388",US$ 2.152.366,US$ 7.180.351,US$ 8.401.831
NUMBER  $NUMBER,"US$ 0,007714","US$ 1.360,38",US$ 7.713.784,US$ 7.713.784
Numbers Protocol  NUM,"US$ 0,02214",US$ 667.156,US$ 16.877.223,US$ 17.100.039
Numeraire  NMR,"US$ 9,70",US$ 16.513.499,US$ 77.743.252,US$ 103.614.682
NUMINE Token  NUMI,"US$ 0,06982",US$ 6.068.475,US$ 7.164.217,US$ 69.894.804
